SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612744,GSW,Golden State Warriors,0021900967,2020-03-10,GSW vs. LAC,L,239,107,37,79,0.468,11,38.0,0.289,22,27,0.815,4.0,31.0,35.0,25,3,0,9,17,-24.0
22019,1610612744,GSW,Golden State Warriors,0021900944,2020-03-07,GSW vs. PHI,W,240,118,44,80,0.55,9,25.0,0.36,21,28,0.75,7.0,28.0,35.0,30,4,2,7,19,4.0
22019,1610612744,GSW,Golden State Warriors,0021900929,2020-03-05,GSW vs. TOR,L,240,113,40,98,0.408,14,52.0,0.269,19,25,0.76,14.0,38.0,52.0,34,4,5,15,23,-8.0
22019,1610612744,GSW,Golden State Warriors,0021900913,2020-03-03,GSW @ DEN,W,239,116,42,82,0.512,18,41.0,0.439,14,22,0.636,5.0,30.0,35.0,31,8,3,11,23,16.0
22019,1610612744,GSW,Golden State Warriors,0021900901,2020-03-01,GSW vs. WAS,L,239,110,42,89,0.472,9,28.0,0.321,17,24,0.708,18.0,34.0,52.0,25,7,7,21,24,-14.0
22019,1610612744,GSW,Golden State Warriors,0021900894,2020-02-29,GSW @ PHX,W,242,115,41,87,0.471,9,30.0,0.3,24,32,0.75,13.0,36.0,49.0,30,9,6,10,21,16.0
22019,1610612744,GSW,Golden State Warriors,0021900876,2020-02-27,GSW vs. LAL,L,240,86,34,80,0.425,9,32.0,0.281,9,10,0.9,5.0,32.0,37.0,27,7,3,26,27,-30.0
22019,1610612744,GSW,Golden State Warriors,0021900863,2020-02-25,GSW vs. SAC,L,241,94,35,79,0.443,4,28.0,0.143,20,24,0.833,5.0,29.0,34.0,21,7,2,16,25,-18.0
22019,1610612744,GSW,Golden State Warriors,0021900847,2020-02-23,GSW vs. NOP,L,241,101,40,92,0.435,11,35.0,0.314,10,15,0.667,11.0,37.0,48.0,28,9,7,13,16,-14.0
22019,1610612744,GSW,Golden State Warriors,0021900825,2020-02-20,GSW vs. HOU,L,241,105,44,89,0.494,7,33.0,0.212,10,12,0.833,13.0,27.0,40.0,26,11,7,21,16,-30.0
22019,1610612744,GSW,Golden State Warriors,0021900815,2020-02-12,GSW @ PHX,L,240,106,39,77,0.506,11,31.0,0.355,17,19,0.895,4.0,34.0,38.0,27,8,7,22,20,-6.0
22019,1610612744,GSW,Golden State Warriors,0021900800,2020-02-10,GSW vs. MIA,L,240,101,30,77,0.39,11,34.0,0.324,30,34,0.882,6.0,34.0,40.0,23,8,2,15,21,-12.0
22019,1610612744,GSW,Golden State Warriors,0021900783,2020-02-08,GSW vs. LAL,L,238,120,46,89,0.517,13,32.0,0.406,15,23,0.652,8.0,25.0,33.0,31,15,6,18,27,-5.0
22019,1610612744,GSW,Golden State Warriors,0021900757,2020-02-05,GSW @ BKN,L,241,88,35,96,0.365,5,39.0,0.128,13,18,0.722,7.0,27.0,34.0,20,6,7,7,14,-41.0
22019,1610612744,GSW,Golden State Warriors,0021900744,2020-02-03,GSW @ WAS,W,241,125,43,87,0.494,15,30.0,0.5,24,31,0.774,12.0,32.0,44.0,31,8,6,14,25,8.0
22019,1610612744,GSW,Golden State Warriors,0021900730,2020-02-01,GSW @ CLE,W,242,131,48,90,0.533,18,35.0,0.514,17,19,0.895,10.0,34.0,44.0,39,11,10,11,16,19.0
22019,1610612744,GSW,Golden State Warriors,0021900717,2020-01-30,GSW @ BOS,L,239,104,33,77,0.429,12,39.0,0.308,26,30,0.867,3.0,27.0,30.0,24,11,6,16,19,-15.0
22019,1610612744,GSW,Golden State Warriors,0021900702,2020-01-28,GSW @ PHI,L,239,104,37,87,0.425,15,40.0,0.375,15,21,0.714,6.0,34.0,40.0,29,6,3,13,24,-11.0
22019,1610612744,GSW,Golden State Warriors,0021900679,2020-01-24,GSW vs. IND,L,241,118,40,82,0.488,19,39.0,0.487,19,23,0.826,7.0,31.0,38.0,31,6,3,20,16,-11.0
22019,1610612744,GSW,Golden State Warriors,0021900665,2020-01-22,GSW vs. UTA,L,241,96,35,88,0.398,6,23.0,0.261,20,24,0.833,11.0,26.0,37.0,20,5,5,8,23,-33.0
22019,1610612744,GSW,Golden State Warriors,0021900652,2020-01-20,GSW @ POR,L,265,124,48,116,0.414,9,36.0,0.25,19,22,0.864,19.0,41.0,60.0,30,7,5,9,25,-5.0
22019,1610612744,GSW,Golden State Warriors,0021900634,2020-01-18,GSW vs. ORL,W,241,109,43,94,0.457,12,40.0,0.3,11,11,1.0,7.0,37.0,44.0,25,9,2,10,13,14.0
22019,1610612744,GSW,Golden State Warriors,0021900617,2020-01-16,GSW vs. DEN,L,265,131,42,95,0.442,20,45.0,0.444,27,31,0.871,10.0,32.0,42.0,36,12,6,18,20,-3.0
22019,1610612744,GSW,Golden State Warriors,0021900602,2020-01-14,GSW vs. DAL,L,239,97,39,87,0.448,9,32.0,0.281,10,13,0.769,7.0,29.0,36.0,27,4,1,14,16,-27.0
22019,1610612744,GSW,Golden State Warriors,0021900588,2020-01-12,GSW @ MEM,L,241,102,35,92,0.38,17,34.0,0.5,15,21,0.714,12.0,35.0,47.0,23,11,6,22,18,-20.0
22019,1610612744,GSW,Golden State Warriors,0021900576,2020-01-10,GSW @ LAC,L,241,100,37,96,0.385,8,39.0,0.205,18,25,0.72,13.0,33.0,46.0,28,9,1,10,22,-9.0
22019,1610612744,GSW,Golden State Warriors,0021900562,2020-01-08,GSW vs. MIL,L,239,98,33,87,0.379,15,38.0,0.395,17,20,0.85,12.0,40.0,52.0,29,7,4,18,30,-9.0
22019,1610612744,GSW,Golden State Warriors,0021900547,2020-01-06,GSW @ SAC,L,240,98,34,86,0.395,5,26.0,0.192,25,32,0.781,10.0,34.0,44.0,19,13,4,17,18,-13.0
22019,1610612744,GSW,Golden State Warriors,0021900532,2020-01-04,GSW vs. DET,L,240,104,33,82,0.402,11,21.0,0.524,27,32,0.844,11.0,31.0,42.0,26,13,3,14,19,-7.0
22019,1610612744,GSW,Golden State Warriors,0021900512,2020-01-02,GSW @ MIN,L,238,84,33,77,0.429,3,20.0,0.15,15,21,0.714,7.0,36.0,43.0,20,9,1,16,20,-15.0
22019,1610612744,GSW,Golden State Warriors,0021900502,2019-12-31,GSW @ SAS,L,266,113,44,96,0.458,12,27.0,0.444,13,18,0.722,9.0,35.0,44.0,31,5,6,8,14,-4.0
22019,1610612744,GSW,Golden State Warriors,0021900482,2019-12-28,GSW vs. DAL,L,240,121,45,93,0.484,18,39.0,0.462,13,17,0.765,9.0,33.0,42.0,28,4,3,13,19,-20.0
22019,1610612744,GSW,Golden State Warriors,0021900471,2019-12-27,GSW vs. PHX,W,239,105,38,92,0.413,9,27.0,0.333,20,25,0.8,11.0,30.0,41.0,22,10,5,10,17,9.0
22019,1610612744,GSW,Golden State Warriors,0021900457,2019-12-25,GSW vs. HOU,W,239,116,41,87,0.471,9,28.0,0.321,25,28,0.893,11.0,43.0,54.0,27,7,8,16,18,12.0
22019,1610612744,GSW,Golden State Warriors,0021900454,2019-12-23,GSW vs. MIN,W,239,113,38,87,0.437,12,30.0,0.4,25,30,0.833,13.0,42.0,55.0,27,11,6,19,27,9.0
22019,1610612744,GSW,Golden State Warriors,0021900429,2019-12-20,GSW vs. NOP,W,242,106,36,83,0.434,10,33.0,0.303,24,25,0.96,10.0,37.0,47.0,25,10,4,17,24,4.0
22019,1610612744,GSW,Golden State Warriors,0021900415,2019-12-18,GSW @ POR,L,240,112,41,103,0.398,16,38.0,0.421,14,23,0.609,17.0,33.0,50.0,24,7,7,8,23,-10.0
22019,1610612744,GSW,Golden State Warriors,0021900393,2019-12-15,GSW vs. SAC,L,240,79,30,76,0.395,6,25.0,0.24,13,18,0.722,7.0,18.0,25.0,24,14,1,20,17,-21.0
22019,1610612744,GSW,Golden State Warriors,0021900379,2019-12-13,GSW @ UTA,L,240,106,41,91,0.451,9,29.0,0.31,15,22,0.682,14.0,34.0,48.0,19,9,7,12,26,-8.0
22019,1610612744,GSW,Golden State Warriors,0021900366,2019-12-11,GSW vs. NYK,L,264,122,45,104,0.433,10,37.0,0.27,22,30,0.733,14.0,32.0,46.0,27,10,6,8,25,-2.0
